Opp Id,Opportunity Name,Account Name,Opp Owner,Stage,Type,Forecast Category,Include Forecast,Value,Close Date,Created Date,ICP Grade,Region,Next Step,Loss Reason,Lead Source,Opp Link,ROI Analysis,Value Map
0061001,Crestline Bank — API Access,Crestline Bank,Tom Ridley,Closed Won,Cross-Sell,Closed,0,8700.0,2026-03-13,2025-10-02,D,Americas,Demo to ops team,,Event,https://example.my.salesforce.com/0061001,0,1
0061002,Ardent IM — DataFeed Core,Ardent IM,Tom Ridley,Closed Lost,Renewal,Closed,0,33300.0,2026-06-09,2025-12-13,C,APAC,Pricing review,Competitor,Inbound,https://example.my.salesforce.com/0061002,1,0
0061003,Crestline Bank — DataFeed Core,Crestline Bank,Priya Shah,Closed Lost,Renewal,Closed,0,11200.0,2026-06-04,2026-04-28,B,Americas,Pricing review,Price,Inbound,https://example.my.salesforce.com/0061003,1,0
0061004,Beacon Wealth — Compliance Module,Beacon Wealth,Marco Bianchi,Closed Won,Renewal,Closed,0,193300.0,2026-04-23,2026-01-12,B,APAC,Pilot kickoff,,Outbound,https://example.my.salesforce.com/0061004,1,0
0061005,Quill Markets — Compliance Module,Quill Markets,Jane Okafor,Discovery,Renewal,Pipeline,0,86300.0,2026-10-06,2025-10-27,B,EMEA,Contract redlines,,Event,https://example.my.salesforce.com/0061005,1,0
0061006,Northgate Capital — API Access,Northgate Capital,Jane Okafor,Closed Won,New Business,Closed,0,71800.0,2026-06-09,2026-04-18,A,EMEA,Security review,,Outbound,https://example.my.salesforce.com/0061006,1,0
0061007,Stratus Clearing — API Access,Stratus Clearing,Marco Bianchi,Closed Won,Cross-Sell,Closed,0,150200.0,2026-05-18,2026-03-23,B,EMEA,Security review,,Inbound,https://example.my.salesforce.com/0061007,0,1
0061008,Helix Trading — Analytics Suite,Helix Trading,Jane Okafor,Closed Won,Cross-Sell,Closed,0,149400.0,2026-01-23,2025-07-25,C,EMEA,Exec sponsor call,,Outbound,https://example.my.salesforce.com/0061008,0,0
0061009,Northgate Capital — Compliance Module,Northgate Capital,Tom Ridley,Closed Lost,Upsell,Closed,0,102600.0,2026-08-20,2026-03-09,Ungraded,APAC,Pilot kickoff,Price,Inbound,https://example.my.salesforce.com/0061009,1,1
0061010,Crestline Bank — DataFeed Core,Crestline Bank,Priya Shah,Proposal,New Business,Best Case,1,8400.0,2026-11-20,2026-05-09,Ungraded,EMEA,Exec sponsor call,,Referral,https://example.my.salesforce.com/0061010,1,1
0061011,Pinemont Funds — API Access,Pinemont Funds,Jane Okafor,Qualification,New Business,Pipeline,0,34200.0,2026-12-14,2025-09-16,B,Americas,Security review,,Inbound,https://example.my.salesforce.com/0061011,1,1
0061012,Ardent IM — API Access,Ardent IM,Tom Ridley,Discovery,Renewal,Pipeline,0,96600.0,2026-10-25,2025-07-27,C,EMEA,Security review,,Referral,https://example.my.salesforce.com/0061012,1,1
0061013,Orbis Securities — Analytics Suite,Orbis Securities,Jane Okafor,Discovery,Upsell,Pipeline,0,41800.0,2026-07-26,2026-02-19,B,APAC,Exec sponsor call,,Event,https://example.my.salesforce.com/0061013,1,0
0061014,Orbis Securities — DataFeed Core,Orbis Securities,Jane Okafor,Business Case,Upsell,Best Case,1,79200.0,2026-11-16,2025-11-28,D,Americas,Demo to ops team,,Referral,https://example.my.salesforce.com/0061014,0,0
0061015,Pinemont Funds — DataFeed Core,Pinemont Funds,Priya Shah,Closed Won,Cross-Sell,Closed,0,79100.0,2026-01-23,2025-07-17,C,APAC,Pricing review,,Outbound,https://example.my.salesforce.com/0061015,0,0
0061016,Stratus Clearing — Analytics Suite,Stratus Clearing,Marco Bianchi,Closed Lost,Cross-Sell,Closed,0,57600.0,2026-02-23,2025-11-10,Ungraded,EMEA,Contract redlines,Price,Inbound,https://example.my.salesforce.com/0061016,1,1
0061017,Stratus Clearing — Compliance Module,Stratus Clearing,Priya Shah,Closed Lost,Renewal,Closed,0,63200.0,2026-01-10,2025-08-27,B,Americas,Pilot kickoff,Competitor,Inbound,https://example.my.salesforce.com/0061017,0,0
0061018,Vantage AM — Analytics Suite,Vantage AM,Priya Shah,Closed Won,Renewal,Closed,0,11100.0,2026-05-22,2026-02-20,B,EMEA,Demo to ops team,,Outbound,https://example.my.salesforce.com/0061018,1,1
0061019,Stratus Clearing — Compliance Module,Stratus Clearing,Jane Okafor,Business Case,Upsell,Best Case,0,39900.0,2026-08-07,2025-06-27,C,EMEA,Pilot kickoff,,Referral,https://example.my.salesforce.com/0061019,1,1
0061020,Pinemont Funds — Compliance Module,Pinemont Funds,Marco Bianchi,Business Case,New Business,Best Case,1,17600.0,2026-08-21,2025-08-15,A,Americas,Exec sponsor call,,Referral,https://example.my.salesforce.com/0061020,1,1
0061021,Ardent IM — Compliance Module,Ardent IM,Jane Okafor,Negotiation,Cross-Sell,Commit,0,22500.0,2026-10-22,2025-09-08,A,EMEA,Demo to ops team,,Referral,https://example.my.salesforce.com/0061021,1,0
0061022,Ardent IM — Analytics Suite,Ardent IM,Tom Ridley,Negotiation,Cross-Sell,Commit,0,78000.0,2026-07-02,2026-03-01,C,EMEA,Pricing review,,Inbound,https://example.my.salesforce.com/0061022,0,0
0061023,Helix Trading — Compliance Module,Helix Trading,Jane Okafor,Business Case,Cross-Sell,Best Case,1,104200.0,2026-07-09,2025-06-02,C,APAC,Contract redlines,,Referral,https://example.my.salesforce.com/0061023,0,0
0061024,Crestline Bank — DataFeed Core,Crestline Bank,Tom Ridley,Negotiation,Upsell,Commit,0,108300.0,2026-08-08,2026-03-25,C,Americas,Pricing review,,Event,https://example.my.salesforce.com/0061024,1,0
